"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","condition","counterbalancing","order","version","followup","rt","response","task_part","accuracy","stimulus","choices","correct_response","correct","question_order"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","NLP","C1","o2","NLP_C1","C4","","","","","","","","",""
"","","","","","survey-text","1","110928","0.0-1.0","NLP","C1","o2","NLP_C1","C4","110898","{""participant_name"":""Hunter"",""participant_ID"":""003""}","id-question","","","","","",""
"","","","","","survey","2","120883","0.0-2.0","NLP","C1","o2","NLP_C1","C4","9890","{""condition"":""NLP"",""counterbalancing"":""1"",""order"":2}","version","[]","","","","",""
"true","","","","","fullscreen","3","129183","0.0-3.0","NLP","C1","o2","NLP_C1","C4","","","fullscreen","","","","","",""
"","","","","","video-button-response","4","138759","0.0-4.0-0.0-0.0-0.0-0.0","NLP","C1","o2","NLP_C1","C4","null","null","demo","","[""video/shape_inst1_C1.mp4""]","","","",""
"","","","","","video-button-response","5","152749","0.0-4.0-0.0-0.0-0.0-1.0","NLP","C1","o2","NLP_C1","C4","13988","0","demo","","[""video/shape_inst2_C1.mp4""]","","","",""
"","","","","","video-button-response","6","154225","0.0-4.0-0.0-0.0-0.0-2.0","NLP","C1","o2","NLP_C1","C4","null","null","demo","","[""video/trial_correct_C1.mp4""]","","","",""
"","","","","","video-button-response","7","161736","0.0-4.0-0.0-0.0-0.0-3.0","NLP","C1","o2","NLP_C1","C4","7508","0","demo","","[""video/shape_inst3_C1.mp4""]","","","",""
"","","","","","video-button-response","8","163227","0.0-4.0-0.0-0.0-0.0-4.0","NLP","C1","o2","NLP_C1","C4","null","null","demo","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","video-button-response","9","173147","0.0-4.0-0.0-0.0-0.0-5.0","NLP","C1","o2","NLP_C1","C4","null","null","demo","","[""video/shape_inst4_C1.mp4""]","","","",""
"","","","","","video-button-response","10","184455","0.0-4.0-0.0-0.0-0.0-6.0","NLP","C1","o2","NLP_C1","C4","null","null","demo","","[""video/shape_inst5_C1.mp4""]","","","",""
"","","","","","html-button-response","11","189609","0.0-4.0-0.0-0.0-0.0-7.0","NLP","C1","o2","NLP_C1","C4","5153","1","demo","","<p> Do you want to hear the instructions again or are you ready to play the game?</p>","","","",""
"","","","","","html-button-response","12","197303","0.0-4.0-1.0-1.0-0.0-0.0","NLP","C1","o2","NLP_C1","C4","7692","3","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/13b.png"",""img/shape/74r.png"",""img/shape/46o.png"",""img/shape/85g.png""]","[]","false",""
"","","","","","video-button-response","13","198805","0.0-4.0-1.0-1.0-0.0-1.0","NLP","C1","o2","NLP_C1","C4","null","null","day-1","","[""video/trial_wrong_C1.mp4""]","","","",""
"","","","","","html-button-response","14","207236","0.0-4.0-1.0-1.0-0.0-0.1","NLP","C1","o2","NLP_C1","C4","8428","0","day-1","","<img src=""img/char1_C1.png""></img>","[""img/shape/25r.png"",""img/shape/73o.png"",""img/shape/86g.png"",""img/shape/44b.png""]","[0,1,2,3]","true",""
